date,url,title,abstract,filetype,site,terms
"",http://cogcc.state.co.us/RR_Docs_new/Policies/PolicyGwaBradenheadMonitoringFinal.pdf,COGCC Policy for Bradenhead Monitoring During <b>Hydraulic</b> ...,"COGCC Policy for Bradenhead Monitoring . During <b>Hydraulic Fracturing</b> Treatments in the Greater Wattenberg Area. May 29, 2012 . The Colorado Oil and Gas Conservation ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Library/HydroFracStronger/STRONGER_REVIEW_06152011.pdf,STRONGER REVIEW - Colorado Oil and Gas Conservation ...,"STRONGER REVIEW . On June 23, Colorado’s regulations guiding <b>hydraulic fracturing</b> of gas and oil wells will . undergo a third-party review by a national oversight ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Rule205.pdf,205. ACCESS TO RECORDS,"205. ACCESS TO RECORDS a. All producers, operators, transporters, refiners, gasoline or other extraction plant operators and initial purchasers of oil and gas within ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/SEAB_Shale_Gas_90day_Report.pdf,Secretary of Energy Advisory Board - Colorado Oil and Gas ...,years on the design of <b>hydraulic fracturing</b> treatments and the analyses of unconventional gas reservoirs. Dr. Holditch worked for Shell Oil Company prior to,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RR_HF2011/DraftStatementOfBasisPurpose.pdf,DEPARTMENT OF NATURAL RESOURCES OIL AND GAS CONSERVATION ...,"chemicals used for <b>hydraulic fracturing</b> treatments are exempted from this requirement and are instead addressed in new Rule 205A, which requires the public disclosure of ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Rule341.pdf,341. BRADENHEAD MONITORING DURING WELL STIMULATION OPERATIONS,341. BRADENHEAD MONITORING DURING WELL STIMULATION OPERATIONS The placement of all stimulation fluids shall be confined to the objective formations during treatment ...,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Rule317.pdf,Blowout prevention equipment (“BOPE” ).,"317. GENERAL DRILLING RULES Unless altered, modified, or changed for a particular field or formation upon hearing before the Commission the following shall ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RR_HF2011/FirstPrehearingOrder_amended.pdf,Colorado Register,"chemicals in <b>hydraulic fracturing</b> fluids. Many oil and gas operators are voluntarily providing such information through the fracfocus.org website, and several other ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Rule608.pdf,608. COALBED METHANE WELLS Assessment and monitoring of ...,"600-1 As of March 30, 2009 608. COALBED METHANE WELLS a. Assessment and monitoring of plugged and abandoned wells within one-quarter (1/4) mile of proposed coalbed ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Rule317B.pdf,"Completion, Production and Storage (“DCPS”) Operations","317B. PUBLIC WATER SYSTEM PROTECTION a. Definitions. For purposes of this Rule 317B: (1) Drilling, Completion, Production and Storage (“DCPS”) Operations shall mean",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RR_Docs_new/rules/200Series.pdf,GENERAL RULES 201. EFFECTIVE SCOPE OF RULES AND REGULATIONS,"during drilling, completion, and workover operations, excluding <b>hydraulic fracturing</b> treatments. With the exception of fuel as provided for in Rule 205.c., the ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Hearings/Minutes/2011/2011_Feb.MinutesFinal.pdf,The Oil and Gas Conservation Commission (“COGCC”) met on,"involved in any EPA study on <b>hydraulic fracturing</b> with regards to the protection of water rights and water resources. Audience Comments: Gary Scritsmier, from Broken ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Form35Adoption/1203-GA-04_Notice.pdf,BEFORE THE OIL AND GAS CONSERVATION COMMISSION OF THE STATE ...,purposes of satisfying a requirement of the recently approved <b>hydraulic fracturing</b> chemical disclosure rule. The proposed form is provided below:,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Staff_Reports/2012/2012_01SR.pdf,"January 23, 2012","participated in a panel on <b>hydraulic fracturing</b> organized by the City of Aurora. On December 16, 2011, Dave Neslin, Thom Kerr, Permit/Technical Services Manager, Deb-",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Staff_Reports/2012/2012_04SR.pdf,"April 16, 2012 - Colorado Oil and Gas Conservation Commission ...",completed this spring.  U.S. EPA Raton Basin <b>Hydraulic Fracturing</b> Study – Las Animas and Huerfano Counties Analytical data from the October 2011 sampling,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Forms/instructions/Form41_inst.pdf,TRADE SECRET CLAIM OF ENTITLEMENT FORM 41 FILING,"And, Rule 205A(2)(C), At the time of claiming that a <b>hydraulic fracturing</b> chemical, concentration, or both is entitled to trade secret protection, a vendor, service ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Staff_Reports/2012/2012_07SR.pdf,"July 9, 2012",completed this spring.  U.S. EPA Raton Basin <b>Hydraulic Fracturing</b> Study – Las Animas and Huerfano Counties Analytical data from the October 2011 sampling,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RR_Docs_new/Policies/nw_notification_procedures.pdf,NORTHWEST COLORADO NOTIFICATION POLICY EFFECTIVE FOR NOTICES ...,completion operations” to “commencement of <b>hydraulic fracturing</b> operations.” Added definitions for “significant” lost circulation and well control events.,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Staff_Reports/2011/2011_10_SR.pdf,"October 31, 2011 - Colorado Oil and Gas Conservation ...","September 2011 hearing.  U.S. EPA <b>Hydraulic Fracturing</b> study- Raton Ba-sin, Las Animas and Huerfano Counties Two Raton Basin operators, Pioneer Natural",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RuleMaking/WorkGroups/StudiesGroup/COGCCdrilling101.pdf,Drilling 101,efficiency of the flow of gas into the production tubing <b>Hydraulic fracturing</b> (fracing) is the most l d th d f ll t commonly used method of well,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Library/Presentations/NWForum20080904/DOE%20NWColoOilGas_090408_RioblancoRulison3.ppt,Rulison and Rio Blanco Sites - Colorado Oil and Gas ...,Potential for contaminants to migrate to gas-producing channels if drilling or <b>hydraulic fracturing</b> penetrates contaminant zone surrounding the nuclear cavities.,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Library/Presentations/NWForum20110303/NWCOOilandGasForumChevron.pdf,Piceance Basin Natural Gas Development Program,• Began <b>hydraulic fracturing</b> last week on 598-36-AV well pad. • First gas to sales from 598-36-AV on February 24. • Continue infrastructure and other work.,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Staff_Reports/2011/2011_12_SR.pdf,"December 12, 2011 - Colorado Oil and Gas Conservation ...","on <b>hydraulic fracturing</b> in Denver. Thom Kerr participated in a meeting in Elbert County regarding pooling and spacing on Novem-ber 18, 2011. Dave Neslin, Thom Kerr ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/SpillsAndReleases/SpillsAndReleases.pdf,"October 13, 2011 - Colorado Oil and Gas Conservation ...",A tank collecting <b>hydraulic fracturing</b> flowback fluids overflowed onto the well pad and into a secondary containment area. The fluids were contained on the well pad and ...,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Hearings/Minutes/2012/201201_Minutes.pdf,The Oil and Gas Conservation Commission (―COGCC‖) met on ...,"A paper titled, ―Water Sources and Demand for the <b>Hydraulic Fracturing</b> of Oil and Gas Wells in Colorado from 2010 through 2015,‖ jointly prepared by the Colorado ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RR_Docs_new/Rules/Completed%20Rules.pdf,RULES AND REGULATIONS DEFINITIONS (100 Series) ACT ANCILLARY ...,"BASE FLUID shall mean the continuous phase fluid type, such as water, used in a <b>hydraulic fracturing</b> treatment. BEST MANAGEMENT PRACTICES (BMPs) are practices that ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/announcements/WILDLIFE_FENCING/ReservePits_MANAGEMENT_usfw.pdf,Reserve Pit Management: Risks to Migratory Birds,"<b>Hydraulic fracturing</b> fluids can contain chemicals that may be harmful to birds (e.g., surfactants, hydrochloric acid, caustic potash, and diesel fuel).",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/2010_Outstanding_Operating_Awards.pdf,COLORADO OIL AND GAS CONSERVATION COMMISSION RECOGNIZES ...,"Increased the reuse and recycling of <b>hydraulic fracturing</b> fluids that are saving water, energy and truck traffic. Expanded use of vapor recovery units that capture",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RuleMaking/PartyStatus/FinalPrehearingStmts/OGAPExh1.pdf,Oil and Gas Accountability Project,"The “other” products included diesel fuel, glycol, amine, lubricating oil, <b>hydraulic fracturing</b> fluids, drilling muds, other chemicals, and natural gas leaks.",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RR_Docs_new/rules/100Series.pdf,RULES AND REGULATIONS DEFINITIONS (100 Series) ACT ANCILLARY ...,"BASE FLUID shall mean the continuous phase fluid type, such as water, used in a <b>hydraulic fracturing</b> treatment. BEST MANAGEMENT PRACTICES (BMPs) are practices that ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RuleMaking/PreDraftComments/CommentDocs/Environmental_Conservation/OGAP_FinalHB1341RulesWithAttachments.pdf,"Protecting Public Health, Safety &amp; Welfare in the Conduct of ...",over the course of the project for this well. The water is expected to be supplied 3 BJ Services has voluntarily agreed to not use diesel fuel in <b>hydraulic fracturing</b> ...,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RuleMaking/PreDraftComments/CommentDocs/Environmental_Conservation/WesternColoradoCongress(12182007).pdf,TO: Colorado Oil and Gas Conservation Commission FR: Matt ...,"drilling, <b>hydraulic fracturing</b>, completion, or processing of oil and gas at the site. ¾ Distance to ground water should be required as a part of a Form 34 application.",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/COGCC_2011_OPERATOR_awards.pdf,COLORADO OIL AND GAS CONSERVATION COMMISSION RECOGNIZES ...,"barrels of <b>hydraulic</b> fracture flowback water and recycled 400,000 barrels of produced ... drilling, completion and <b>fracturing</b> operations. The improved water management has",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Hearings/Applications/2011/2011_August/1108-GA-08_TC.Operating.Deer.Creek.SWD.1.Denial_Final.pdf,"TC Operating LLC 138 South Park Square, Suite 201 RE: TC ...",COGCC and DWR staff concerns that the Wingate Sandstone may have a <b>hydraulic</b> ... This is further compounded with a concern of known <b>fracturing</b> and faulting in the area.,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Fracking_disclosure_doc.pdf,New website to provide data on hydraulic fracturing chemicals ...,"DEPARTMENT OF NATURAL RESOURCES . John W. Hickenlooper, Governor . 1120 Lincoln St. Suite 801 . Denver, CO 80203 . Phone: (303) 894-2100 . FAX: (303) 894-2109",nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/General/HydraulicFracturingInfoSheet.pdf,Information on Hydraulic Fracturing - Colorado Oil and Gas ...,Colorado Department of Natural Resources Information on Hydraulic Fracturing What is hydraulic fracturing? Hydraulic fracturing is the process of creating,nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/announcements/CommissionLtr4_25_11.pdf,DEPARTMENT OF NATURAL RESOURCES - Colorado Oil and Gas ...,"DEPARTMENT OF NATURAL RESOURCES: Mike King, Executive Director COGCC COMMISSION: Richard Alward – Thomas L. Compton – DeAnn Craig – Mark Cutright – Michael ...",nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/library/setbackstakeholdergroup/Recommendations/WraSjcaWccSetbacksLetterToCogccFinal.pdf,AN UAN ITIZENS LLIANCE ESTERN OLORADO ONGRESS,"To cite one emerging issue, researchers at the National Institute for Occupational Safety and Health are warning that the particles in sand dust created during <b>fracking</b>",nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/RuleMaking/StaffPreHearState/Exhibits/FINAL%20OGCC%20TESTIMONY/Ash%20Testimony-041808%20FINAL.pdf,BEFORE THE OIL AND GAS CONSERVATION COMMISSION STATE OF ...,before the oil and gas conservation commission state of colorado in the matter of changes to the ) cause no. 1r rules and regulations of the oil ),nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/RR_Training/presentations/900%20Series_E&pWasteManagement.pdf,Colorado Oil &amp; Gas Conservation Commission 900 Series,Colorado Oil &amp; Gas Conservation Commission E&amp;P Waste Management Rules 900 Series,nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/Staff_Reports/2012/2012_04SR.pdf,"April 16, 2012 - Colorado Oil and Gas Conservation Commission ...","tion Specialist, presented at the “<b>Fracking</b> in La Plata County and Colorado” forum hosted by the League of Women Voters of La Plata County",nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/RuleMaking/PreDraftComments/CommentDocs/Environmental_Conservation/OGAP_FinalHB1341RulesWithAttachments.pdf,"Protecting Public Health, Safety &amp; Welfare in the Conduct of ...",only produced water from companies that utilize non-toxic <b>fracking</b> fluids and supply a register of all chemicals used in their drilling operations.,nonhtml,cogcc.state.co.us,fracking
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/SEAB_Shale_Gas_90day_Report.pdf,Secretary of Energy Advisory Board - Colorado Oil and <b>Gas</b> ...,"ENERGY U.S. DEPARTMENT OF Secretary of Energy Advisory Board Natural <b>Gas</b> Subcommittee 90-Day Report <b>Shale Gas</b> Production August 18, 2011",nonhtml,cogcc.state.co.us,shale+gas
"",http://cogcc.state.co.us/Hearings/Applications/2009/March_09/Antero_0903-SP-13_Appl.pdf,BEFORE THE OIL AND <b>GAS</b> CONSERVATION COMMISSION OF THE STATE ...,"EQUIVALENT OF THE MANCOS <b>SHALE</b>, NIOBRARA FORMATION AND MOWRY <b>SHALE</b> FOR CERTAIN ... Iles Formation, is productive of <b>gas</b> and associated hydrocarbons. Applicant has ...",nonhtml,cogcc.state.co.us,shale+gas
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Frequent_Questions_about_Hydraulic%20Fracturing.pdf,Frequently Asked Questions About Hydraulic Fracturing,"mixture and list of additives are provided below: Source: US DOE, Modern <b>Shale Gas</b> Development in the United State, Exhibit 35: Volumetric composition of a fracture",nonhtml,cogcc.state.co.us,shale+gas
"",http://cogcc.state.co.us/Library/Presentations/NW%20Colorado%20Oil%20and%20Gas%20Forum%2012-7-06/ChevronNatGasDevProgram_060707.pdf,Pi B iPiceance Basin Natural <b>Gas</b> Development Program,• Oil <b>Shale</b> Research and Development Project on BLM lands • Founding member Colorado ... Location f d ll 200 Cl C k llfor drilling in 2007: Clear Creek Valley • <b>Gas</b> ...,nonhtml,cogcc.state.co.us,shale+gas
"",http://cogcc.state.co.us/Library/RatonBasin/15Nov2008.pdf,Colorado Oil and <b>Gas</b> Conservation Commission,-320 Huerfano Water Wells Huerfano <b>shale gas</b> Microbial <b>Gas</b> (Fermentation)-360-95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 δ13C of Methane,nonhtml,cogcc.state.co.us,shale+gas
"",http://cogcc.state.co.us/Library/PiceanceBasin/PRESCO2006GasWellMonitoringRpFNL091407/FIGURES%20AND%20TABLES.pdf,FIGURES AND TABLES,"substantial natural <b>gas</b> resources. Total thickness 2,500 ft Km - Lower Cretaceous age, Mancos <b>Shale</b> – gray marine <b>shale</b> (Total thickness 1,700 ft)",nonhtml,cogcc.state.co.us,shale+gas
